02.14.01 - Materiais Hospitalares
01.01.01 - FOLHA NORMAL
01.02.04 - VALE ALIMENTAÇÃO
01.02.07 - AUXÍLIO MORADIA (MAIS MÉDICOS)
01.01.04 - RESCISÃO CONTRATUAL
01.03.06 - FGTS Recisão
08.01.01 - TAXAS E TARIFAS
01.03.02 - OUTROS DESCONTOS DE ENCARGOS e CONTRIBUIÇÕES
09.03.01 - ESTORNO DE RECEITA
09.01.02 - REEMBOLSO DE EMPRÉSTIMO
09.01.01 - CONCESSÃO DE EMPRÉSTIMO
03.19.07 - OUTRAS DESPESAS COM TRANSPORTE E LOCOMOÇÃO
03.23.01 - SERVIÇOS TÉCNICOS ESPECIALIZADOS
04.01.01 - ISS
01.02.01 - VALE TRANSPORTE
03.17.02 - ALUGUEL
03.22.01 - OUTROS SERVIÇOS DE TERCEIROS
01.04.01 - OUTRAS DESPESAS DE PESSOAL
02.07.01 - MEDICAMENTOS e INSUMOS FARMACÊUTICOS
03.18.01 - HONORÁRIOS ADVOCATÍCIOS
05.05.01 - TELEFONIA CELULAR
03.15.01 - SERVIÇOS DE CONSULTORIA PESSOA JURÍDICA
03.12.01 - OUTROS SERVIÇOS DE INTERNET
05.02.01 - ENERGIA ELÉTRICA
05.04.01 - TELEFONIA FIXA
03.11.01 - INTERNET A CABO
03.22.02 - DESPESAS CARTORARIAS
03.22.03 - SERVIÇO DE RAIO X
01.02.03 - CONVÊNIOS
01.03.08 - EMPRÉSTIMO CONSIGNADO
02.07.05 - MATERIAL DE USO ODONTOLÓGICO
02.03.02 - PEÇAS DE EQUIPAMENTOS EM GERAL
03.02.01 - SERVIÇOS-MANUTENÇÃO EQUIPAMENTOS EM GERAL
03.13.01 - CURSOS E TREINAMENTOS
03.01.01 - REPAROS/ADAPTAÇÕES
02.12.01 - OUTRAS DESPESAS DE CONSUMO
02.11.01 - VESTUÁRIO
06.01.03 - OUTROS EQUIPAMENTOS
02.03.03 - PEÇAS DE EQUIPAMENTOS INFORMÁTICA
03.01.02 - SERVIÇOS DE DEDETIZAÇÃO/DESRATIZAÇÃO
02.02.01 - MATERIAL DE INFORMÁTICA
03.06.01 - LOCAÇÃO CILINDROS GASES MEDICINAIS
02.07.02 - GASES MEDICINAIS(FORNECIMENTO)
03.04.01 - LOCAÇÃO DE EQUIPAMENTOS
02.07.04 - SANEANTES
05.08.01 - COLETA DE LIXO ESPECIAL
09.04.01 - PAGAMENTO INDEVIDO
03.19.09 - LOCAÇÃO DE AMBULANCIA / CEGONHA
02.05.01 - MATERIAL DE LIMPEZA
03.11.02 - INTERNET MÓVEL
03.19.05 - LOCAÇÃO DE VEÍCULOS/AERONAVES/OUTROS
01.03.04 - INSS S/ FOPAG
01.03.07 - PIS S/FOPAG
01.03.05 - IRRF S/ FOPAG
01.03.01 - FGTS
04.03.01 - INSS SOBRE PRESTAÇÃO DE SERVIÇOS
04.02.01 - PIS/COFINS/CSLL
04.04.01 - IR SOBRE PRESTAÇÃO DE SERVIÇOS
02.04.01 - COMBUSTÍVEIS
05.07.01 - CORREIO
01.02.08 - SEGURO DE VIDA
05.01.01 - ÁGUA
02.01.01 - MATERIAL DE ESCRITÓRIO/PAPÉIS EM GERAL/ IMPRESSOS
02.06.01 - GÊNEROS ALIMENTÍCIOS
01.01.03 - FÉRIAS
02.03.01 - MANUTENÇÃO PREDIAL
01.01.02 - 13º SALÁRIO
03.21.01 - DESPESAS COM PROPAGANDA E PUBLICIDADE
03.19.03 - PASSAGENS AÉREAS
03.19.06 - DESPESAS COM TÁXI
04.06.01 - OUTRAS TAXAS/IMPOSTOS/CONTRIBUIÇÕES
09.02.02 - TRANSFERÊNCIA DA CONTA DE PROVISIONAMENTO PARA EXECUÇÃO
